"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2010/01/01","00:00","4.593","3.694","3.36","1.732","1.718","0.075","-0.105","-0.869","0"
"2010/02/01","00:00","4.852","3.681","3.386","1.814","1.788","0.19","0.01","-0.856","0"
"2010/03/01","00:00","4.514","3.881","3.635","2.018","2.008","0.381","0.256","-1.014","0"
"2010/04/01","00:00","4.495","3.593","3.261","1.657","1.663","0.066","-0.003","-0.541","0"
"2010/05/01","00:00","4.656","3.553","3.182","1.624","1.617","0.052","-0.079","-0.741","0"
"2010/06/01","00:00","4.268","3.635","3.274","1.739","1.732","0.19","0.023","-0.486","0"
"2010/07/01","00:00","4.39","3.579","3.264","1.716","1.711","0.157","-0.02","-0.656","0"
"2010/08/01","00:00","4.656","3.855","3.593","2.06","2.062","0.531","0.367","-0.24","0"
"2010/09/01","00:00","5.02","4.072","3.793","2.287","2.274","0.755","0.633","-0.315","0"
"2010/10/01","00:00","5.007","4.006","3.73","2.218","2.219","0.709","0.554","-0.525","0"
"2010/11/01","00:00","4.603","3.894","3.602","2.041","2.044","0.486","0.322","-0.459","0"
"2010/12/01","00:00","4.787","3.681","3.317","1.722","1.718","0.118","-0.072","-0.902","0"
"2011/01/01","00:00","4.052","3.425","3.107","1.493","1.491","-0.125","-0.322","-1.227","0"
"2011/02/01","00:00","4.055","3.35","3.064","1.463","1.444","-0.177","-0.371","-1.253","0"
"2011/03/01","00:00","4.229","3.573","3.327","1.736","1.731","0.135","0.01","-1.102","0"
"2011/04/01","00:00","4.573","3.425","3.13","1.526","1.519","-0.092","-0.19","-0.889","0"
"2011/05/01","00:00","4.905","3.835","3.481","1.909","1.916","0.351","0.23","-0.364","0"
"2011/06/01","00:00","4.587","3.848","3.497","1.923","1.921","0.344","0.154","-0.443","0"
"2011/07/01","00:00","4.514","3.888","3.579","2.005","1.995","0.41","0.203","-0.328","0"
"2011/08/01","00:00","6.25","4.134","3.881","2.277","2.272","0.663","0.492","-0.404","0"
"2011/09/01","00:00","4.787","4.111","3.904","2.316","2.326","0.748","0.597","-0.069","0"
"2011/10/01","00:00","4.961","4.058","3.786","2.215","2.213","0.64","0.499","-0.804","0"
"2011/11/01","00:00","4.662","3.829","3.524","1.942","1.942","0.361","0.226","-0.673","0"
"2011/12/01","00:00","4.646","3.53","3.251","1.68","1.68","0.108","-0.059","-1.004","0"
"2012/01/01","00:00","4.347","3.323","3.054","1.486","1.496","-0.059","-0.203","-0.673","0"
"2012/02/01","00:00","4.124","3.448","3.222","1.627","1.619","0.016","-0.131","-0.761","0"
"2012/03/01","00:00","3.757","3.337","3.11","1.552","1.539","-0.033","-0.187","-1.437","0"
"2012/04/01","00:00","5.03","3.855","3.609","2.024","2.013","0.417","0.295","-0.335","0"
"2012/05/01","00:00","5.085","3.894","3.583","1.982","1.977","0.371","0.236","-0.482","0"
"2012/06/01","00:00","5.312","4.249","3.917","2.349","2.341","0.764","0.587","-0.236","0"
"2012/07/01","00:00","4.77","3.953","3.635","2.021","2.031","0.427","0.256","-0.42","0"
"2012/08/01","00:00","4.862","4.035","3.822","2.231","2.229","0.636","0.482","0.039","0"
"2012/09/01","00:00","4.511","3.904","3.707","2.129","2.139","0.571","0.456","-0.43","0"
"2012/10/01","00:00","5.377","4.052","3.802","2.247","2.246","0.689","0.568","-0.509","0"
"2012/11/01","00:00","5.105","4.19","3.888","2.336","2.333","0.778","0.656","-0.469","0"
"2012/12/01","00:00","5.282","3.855","3.537","1.955","1.942","0.348","0.203","-0.387","0"
"2013/01/01","00:00","4.259","3.507","3.251","1.657","1.645","0.039","-0.128","-0.814","0"
"2013/02/01","00:00","5.131","3.52","3.291","1.66","1.657","0.023","-0.141","-0.604","0"
"2013/03/01","00:00","4.551","3.743","3.524","1.913","1.895","0.266","0.141","-1.427","0"
"2013/04/01","00:00","4.393","3.56","3.284","1.663","1.665","0.046","-0.059","-0.778","0"
"2013/05/01","00:00","4.659","3.812","3.533","1.919","1.919","0.308","0.197","-0.44","0"
"2013/06/01","00:00","4.59","3.648","3.373","1.772","1.76","0.148","-0.003","-0.63","0"
"2013/07/01","00:00","4.59","3.698","3.428","1.831","1.831","0.233","0.079","-0.554","0"
"2013/08/01","00:00","4.603","3.898","3.668","2.093","2.09","0.512","0.367","-0.223","0"
"2013/09/01","00:00","4.613","3.957","3.766","2.185","2.188","0.61","0.492","-0.138","0"
"2013/10/01","00:00","5.328","4.213","4.032","2.467","2.467","0.899","0.807","0.164","0"
"2013/11/01","00:00","4.61","3.76","3.481","1.87","1.859","0.236","0.108","-0.669","0"
"2013/12/01","00:00","4.944","3.724","3.435","1.778","1.768","0.098","-0.062","-0.745","0"
"2014/01/01","00:00","4.803","3.737","3.455","1.765","1.763","0.072","-0.089","-0.925","0"
"2014/02/01","00:00","4.626","3.632","3.389","1.768","1.762","0.135","-0.02","-1.05","0"
"2014/03/01","00:00","4.505","3.773","3.57","1.864","1.868","0.167","0.056","-0.902","0"
"2014/04/01","00:00","4.698","3.957","3.684","2.057","2.052","0.42","0.285","-0.853","0"
"2014/05/01","00:00","4.518","4.009","3.681","2.064","2.073","0.463","0.338","-0.243","0"
"2014/06/01","00:00","4.806","3.96","3.622","2.041","2.034","0.446","0.308","-0.427","0"
"2014/07/01","00:00","4.708","3.973","3.678","2.103","2.09","0.502","0.341","-0.41","0"
"2014/08/01","00:00","4.757","4.183","3.97","2.388","2.395","0.82","0.689","-0.075","0"
"2014/09/01","00:00","4.977","4.432","4.206","2.631","2.648","1.086","0.968","0.164","0"
"2014/10/01","00:00","5.161","4.216","3.983","2.395","2.395","0.807","0.699","-0.338","0"
"2014/11/01","00:00","4.987","4.009","3.734","2.116","2.11","0.486","0.331","-0.597","0"
"2014/12/01","00:00","4.911","3.888","3.615","2.005","1.991","0.367","0.217","-0.446","0"
"2015/01/01","00:00","4.528","3.747","3.432","1.841","1.803","0.174","0","-0.814","0"
"2015/02/01","00:00","4.806","3.675","3.412","1.785","1.79","0.167","0.013","-1.175","0"
"2015/03/01","00:00","4.423","3.415","3.192","1.604","1.58","-0.033","-0.141","-0.876","0"
"2015/04/01","00:00","4.403","3.533","3.291","1.683","1.677","0.062","-0.03","-0.787","0"
