"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2010/10/01","00:00","6.486","4.974","4.623","2.625","2.623","0.623","0.446","-0.518","0"
"2010/11/01","00:00","5.879","4.944","4.567","2.526","2.525","0.482","0.318","-0.653","0"
"2010/12/01","00:00","6.316","4.688","4.203","2.093","2.11","0.016","-0.233","-1.529","0"
"2011/01/01","00:00","5.548","4.367","3.976","1.893","1.901","-0.174","-0.394","-1.545","0"
"2011/02/01","00:00","5.387","4.327","3.953","1.89","1.868","-0.217","-0.456","-1.634","0"
"2011/03/01","00:00","5.682","4.58","4.304","2.238","2.234","0.164","-0.03","-1.49","0"
"2011/04/01","00:00","5.751","4.354","3.99","1.903","1.893","-0.203","-0.318","-1.932","0"
"2011/05/01","00:00","6.129","4.813","4.393","2.359","2.372","0.351","0.226","-0.41","0"
"2011/06/01","00:00","5.856","4.82","4.396","2.349","2.367","0.338","0.164","-0.548","0"
"2011/07/01","00:00","6.109","4.82","4.475","2.441","2.431","0.387","0.184","-0.551","0"
"2011/08/01","00:00","6.903","5.098","4.806","2.71","2.703","0.6","0.358","-2.126","0"
"2011/10/01","00:00","6.319","5.072","4.715","2.644","2.659","0.604","0.446","-1.155","0"
"2011/11/01","00:00","6.165","4.816","4.442","2.395","2.38","0.318","0.157","-1.342","0"
"2011/12/01","00:00","5.83","4.551","4.177","2.129","2.134","0.092","-0.095","-1.64","0"
"2012/01/01","00:00","5.801","4.226","3.917","1.886","1.906","-0.105","-0.285","-1.329","0"
"2012/02/01","00:00","5.384","4.429","4.15","2.09","2.098","0.046","-0.125","-1.342","0"
"2012/04/01","00:00","6.65","4.787","4.511","2.454","2.454","0.397","0.246","-0.6","0"
"2012/05/01","00:00","6.768","4.941","4.583","2.52","2.502","0.42","0.262","-0.912","0"
"2012/06/01","00:00","7.218","5.322","4.928","2.851","2.841","0.755","0.574","-0.479","0"
"2012/07/01","00:00","6.01","4.898","4.551","2.405","2.429","0.308","0.121","-0.6","0"
"2012/08/01","00:00","5.978","5.056","4.797","2.69","2.695","0.594","0.443","-0.089","0"
"2012/09/01","00:00","5.64","4.967","4.701","2.635","2.651","0.6","0.479","-0.551","0"
"2012/10/01","00:00","6.522","5.121","4.793","2.762","2.769","0.745","0.614","-0.873","0"
"2012/11/01","00:00","6.781","5.282","4.915","2.881","2.879","0.843","0.719","-0.715","0"
"2012/12/01","00:00","7.31","4.767","4.386","2.362","2.315","0.243","0.036","-0.896","0"
"2013/01/01","00:00","5.669","4.455","4.163","2.123","2.101","0.039","-0.131","-1.562","0"
"2013/02/01","00:00","6.024","4.419","4.14","2.054","2.07","0","-0.154","-1.086","0"
"2013/03/01","00:00","5.705","4.633","4.38","2.267","2.267","0.154","0.013","-1.486","0"
"2013/04/01","00:00","5.712","4.56","4.245","2.152","2.16","0.075","-0.049","-0.928","0"
"2013/05/01","00:00","6.024","4.79","4.488","2.385","2.382","0.276","0.154","-0.709","0"
"2013/07/01","00:00","5.83","4.652","4.321","2.257","2.267","0.213","0.072","-0.961","0"
"2013/08/01","00:00","5.997","4.921","4.636","2.602","2.602","0.568","0.423","-0.489","0"
"2013/09/01","00:00","6.063","5.016","4.793","2.779","2.792","0.791","0.663","-0.079","0"
"2013/10/01","00:00","6.542","5.177","4.957","2.953","2.946","0.935","0.843","0.102","0"
"2013/11/01","00:00","6.161","4.813","4.478","2.444","2.433","0.387","0.233","-0.853","0"
"2013/12/01","00:00","6.306","4.738","4.35","2.241","2.223","0.095","-0.115","-1.155","0"
"2014/01/01","00:00","6.191","4.695","4.344","2.172","2.164","-0.016","-0.233","-1.522","0"
"2014/02/01","00:00","5.886","4.649","4.38","2.274","2.283","0.187","0","-1.283","0"
